[INFO ] [2023-05-21 21:49:20,230] Register - Step 04: Input to Email textbox
[INFO ] [2023-05-21 21:49:20,429] Register - Step 05: Input to Password textbox
[INFO ] [2023-05-21 21:49:20,615] Register - Step 06: Input to Confirm Password textbox
[INFO ] [2023-05-21 21:49:20,797] Register - Step 07: Click to Register button
[INFO ] [2023-05-21 21:49:21,591] Register - Step 08: Verify register success is display
[INFO ] [2023-05-21 21:49:21,837] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-21 21:49:22,303] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-21 21:49:22,482] Login - Step 03: Input to Password textbox
[INFO ] [2023-05-21 21:49:22,678] Login - Step 04: Click to Login button
[INFO ] [2023-05-21 21:49:23,490] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-23 14:08:15,723] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-23 14:08:16,824] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-23 14:08:17,022] Login - Step 03: Input to Password textbox
[INFO ] [2023-05-23 14:08:17,238] Login - Step 04: Click to Login button
[INFO ] [2023-05-23 14:08:18,180] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-23 14:08:53,385] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-23 14:08:53,899] Login - Step 02: Input to Email textbox
[INFO ] [2023-05-23 14:08:54,122] Login - Step 03: Input to Password textbox
[INFO ] [2023-05-23 14:08:54,287] Login - Step 04: Click to Login button
[INFO ] [2023-05-23 14:08:55,177] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-23 14:40:02,535] Login - Step 01: Navigate to Login page
[INFO ] [2023-05-23 14:40:03,641] Login - Step 02: Set Cookie and reload page
[INFO ] [2023-05-23 14:40:06,781] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-23 14:40:07,269] Login - Step 05: Verify My Account link is display
[INFO ] [2023-05-27 09:27:16,726] OS name = Windows 11
[INFO ] [2023-05-27 09:27:16,728] Driver instance name = chromedriver: chrome on windows (b6cee1e151df7b28de83c2ca6043b608)
[INFO ] [2023-08-24 14:20:05,826] OS name = Windows 11
[INFO ] [2023-08-24 14:20:05,827] 
[INFO ] [2023-08-24 14:20:40,703] OS name = Windows 11
[INFO ] [2023-08-24 14:20:40,705] 
[INFO ] [2023-08-24 14:26:24,627] OS name = Windows 11
[INFO ] [2023-08-24 14:26:24,627] 
[INFO ] [2023-08-24 14:30:47,211] OS name = Windows 11
[INFO ] [2023-08-24 14:30:47,212] 
[INFO ] [2023-08-24 14:35:39,243] OS name = Windows 11
[INFO ] [2023-08-24 14:35:39,243] 
[INFO ] [2023-08-24 14:38:04,415] OS name = Windows 11
[INFO ] [2023-08-24 14:38:04,416] 
[INFO ] [2023-08-24 14:38:33,238] OS name = Windows 11
[INFO ] [2023-08-24 14:38:33,239] 
[INFO ] [2023-08-24 14:38:58,683] OS name = Windows 11
[INFO ] [2023-08-24 14:38:58,683] 
[INFO ] [2023-08-24 14:39:56,686] OS name = Windows 11
[INFO ] [2023-08-24 14:39:56,687] 
[INFO ] [2023-08-24 14:42:34,043] OS name = Windows 11
[INFO ] [2023-08-24 14:42:34,043] 
[INFO ] [2023-08-24 14:43:07,848] OS name = Windows 11
[INFO ] [2023-08-24 14:43:07,848] 
[INFO ] [2023-08-24 14:43:25,306] OS name = Windows 11
[INFO ] [2023-08-24 14:43:25,306] 
